Time (s);T1;T2
0;22.4;41.125
90;22.4;41.25
180;22.5;41.25
270;22.5;41.375
360;32.3;41.375
450;36;41.375
540;37.8;41.375
630;38.6;41.4375
720;39;41.4375
810;39.2;41.4375
900;39.4;41.5
990;39.5;41.5
1080;39.5;41.4375
1170;39.5;41.4375
1260;39.4;41.375
1350;39.3;41.3125
1440;39.2;41.25
1530;39.2;41.1875
1620;39.1;41.125
1710;39.1;41.0625
1800;39;41
1890;38.9;41
1980;38.8;40.9375
2070;38.9;41
2160;38.9;41.125
2250;39.1;41.1875
2340;39.1;41.25
2430;39.2;41.3125
2520;39.3;41.4375
2610;39.4;41.5
2700;39.5;41.5625
2790;39.6;41.625
2880;39.6;41.625
2970;39.7;41.6875
3060;39.6;41.6875
3150;39.6;41.6875
3240;39.6;41.75
3330;39.4;41.75
3420;39.4;41.75
3510;39.4;41.6875
3600;39.5;41.6875
3690;39.5;41.625
3780;39.4;41.625
3870;39.4;41.5625
3960;39.3;41.5
4050;39.2;41.5
4140;39.2;41.4375
4230;39.1;41.375
4320;39.1;41.3125
4410;39.1;41.25
4500;39.1;41.1875
4590;39.1;41.1875
4680;39;41.1875
4770;39;41.25
4860;39.1;41.3125
4950;39.1;41.4375
5040;39.3;41.5
5130;39.4;41.625
5220;39.6;41.6875
5310;39.6;41.75
5400;39.6;41.8125
5490;39.7;41.875
5580;39.8;41.875
5670;39.8;41.9375
5760;39.8;41.9375
5850;39.8;41.9375
5940;39.8;42
6030;39.7;42
6120;39.8;41.875
6210;39.8;41.75
6300;39.8;41.625
6390;39.8;41.5625
6480;39.8;41.5
6570;39.7;41.5
6660;39.6;41.375
6750;39.5;41.3125
6840;39.4;41.25
6930;39.3;41.25
7020;39.4;41.3125
7110;39.3;41.375
7200;39.4;41.375
7290;39.6;41.5
7380;39.7;41.5625
7470;39.8;41.625
7560;39.8;41.75
7650;39.9;41.8125
7740;39.9;41.8125
7830;40.1;41.875
7920;40.1;41.9375
8010;39.9;41.9375
8100;39.9;41.9375
8190;39.9;41.9375
8280;39.9;41.9375
8370;39.8;41.875
8460;39.8;41.875
8550;39.7;41.8125
8640;39.6;41.75
8730;39.6;41.6875
8820;39.5;41.625
8910;39.4;41.5625
9000;39.2;41.5
9090;39.2;41.4375
9180;39.2;41.375
9270;39.2;41.3125
9360;39.1;41.25
9450;39;41.1875
9540;39;41.1875
9630;38.9;41.25
9720;39;41.3125
9810;39.1;41.375
9900;39.2;41.4375
9990;39.3;41.5
10080;39.4;41.5625
10170;39.4;41.625
10260;39.6;41.6875
10350;39.6;41.75
10440;39.6;41.75
10530;39.6;41.8125
10620;39.6;41.75
10710;39.6;41.6875
10800;39.6;41.6875
10890;39.6;41.6875
10980;39.5;41.625
11070;39.4;41.5625
11160;39.4;41.5
11250;39.3;41.5
11340;39.2;41.4375
11430;39.2;41.375
11520;38.9;41.125
11610;39;41.1875
11700;39.2;41.25
11790;39.1;41.3125
11880;39.2;41.3125
11970;39.1;41.375
12060;39.1;41.375
12150;39.1;41.375
12240;39.1;41.375
12330;39.1;41.375
12420;39.1;41.375
12510;39.1;41.375
12600;39;41.375
12690;39;41.3125
12780;39;41.3125
12870;38.9;41.25
12960;38.9;41.1875
13050;38.8;41.1875
13140;38.9;41.0625
13230;38.8;41.0625
13320;38.9;41
13410;38.9;40.8125
13500;38.7;40.75
13590;38.6;40.6875
13680;38.6;40.6875
13770;38.6;40.6875
13860;38.6;40.75
