Aikaleima,Nimimerkki,Arvo,Kysymys,,,,,,,,,,,
1.6.2020,123098,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,9253,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,222426,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,145789,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,21084,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,7968,5,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,2905202010,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,029,3,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,1500,3,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,369369,3,Tunnen itseni onnelliseksi,,,,,,,,,,,
2.6.2020,290520,3,Tunnen itseni onnelliseksi,,,,,,,,,,,
2.6.2020,0907,1,Tunnen itseni onnelliseksi,,,,,,,,,,,
2.6.2020,34725,4,Tunnen itseni onnelliseksi,,,,,,,,,,,
3.6.2020,7469,2,Tunnen itseni onnelliseksi,,,,,,,,,,,
1.6.2020,123098,3,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,9253,5,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,222426,1,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,145789,4,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,21084,2,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,7968,4,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,2905202010,2,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,029,3,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,1500,2,Nukuin riittavästi viime yona,,,,,,,,,,,
1.6.2020,369369,3,Nukuin riittavästi viime yona,,,,,,,,,,,
2.6.2020,290520,4,Nukuin riittavästi viime yona,,,,,,,,,,,
2.6.2020,0907,1,Nukuin riittavästi viime yona,,,,,,,,,,,
2.6.2020,34725,4,Nukuin riittavästi viime yona,,,,,,,,,,,
3.6.2020,7469,2,Nukuin riittavästi viime yona,,,,,,,,,,,
2.6.2020,123098,3,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,029,4,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,145789,3,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,21084,4,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,1500,3,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,222426,3,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,9253,4,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,0907,1,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,369369,3,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,34725,3,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,7968,4,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,2905202010,4,Koen usein rauhan tunnetta,,,,,,,,,,,
3.6.2020,290520,4,Koen usein rauhan tunnetta,,,,,,,,,,,
2.6.2020,123098,4,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,029,3,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,145789,4,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,21084,5,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,1500,3,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,222426,3,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,9253,4,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,0907,2,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,369369,3,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,34725,4,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,7968,4,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
2.6.2020,2905202010,5,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
3.6.2020,290520,4,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta",,,,,,,,,,,
3.6.2020,123098,3,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,145789,5,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,369369,3,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,029,4,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,0907,4,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,2905202010,4,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,1500,4,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,222426,5,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,7968,4,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,9253,5,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,34725,4,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
4.6.2020,21084,3,"Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",,,,,,,,,,,
3.6.2020,123098,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,145789,3,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,369369,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,029,3,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,0907,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,2905202010,2,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,1500,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,222426,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,7968,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,9253,4,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
3.6.2020,34725,3,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
4.6.2020,21084,1,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,,,,,,,,,,,
4.6.2020,123098,4,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,029,4,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,21084,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,145789,4,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,2905202010,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,222426,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,9253,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,0907,1,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,7968,5,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,369369,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,1500,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
6.6.2020,290520,4,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
6.6.2020,0704,3,Tunnen hallitsevani omaa elamaani,,,,,,,,,,,
4.6.2020,123098,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,029,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,21084,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,145789,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,2905202010,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,222426,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,9253,3,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,0907,3,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,7968,3,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,369369,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
4.6.2020,1500,3,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
6.6.2020,290520,2,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
6.6.2020,0704,4,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,,,,,,,,,,
5.6.2020,123098,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,7968,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,145789,2,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,2905202010,3,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,029,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,1500,3,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,21084,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,9253,3,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,0907,1,"Tunnen, että voin hyvin. ",,,,,,,,,,,
6.6.2020,369369,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
6.6.2020,222426,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
6.6.2020,290520,4,"Tunnen, että voin hyvin. ",,,,,,,,,,,
5.6.2020,123098,3,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,7968,4,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,145789,4,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,2905202010,3,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,029,2,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,1500,3,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,21084,2,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,9253,3,Söin eilen terveellista ruokaa.,,,,,,,,,,,
5.6.2020,0907,3,Söin eilen terveellista ruokaa.,,,,,,,,,,,
6.6.2020,369369,3,Söin eilen terveellista ruokaa.,,,,,,,,,,,
6.6.2020,222426,4,Söin eilen terveellista ruokaa.,,,,,,,,,,,
6.6.2020,290520,2,Söin eilen terveellista ruokaa.,,,,,,,,,,,
