Aikaleima,Nimimerkki,Arvo,Kysymys
1.6.2020,123098,4,Tunnen itseni onnelliseksi
1.6.2020,9253,4,Tunnen itseni onnelliseksi
1.6.2020,222426,4,Tunnen itseni onnelliseksi
1.6.2020,145789,4,Tunnen itseni onnelliseksi
1.6.2020,21084,4,Tunnen itseni onnelliseksi
1.6.2020,7968,5,Tunnen itseni onnelliseksi
1.6.2020,2905,4,Tunnen itseni onnelliseksi
1.6.2020,29,3,Tunnen itseni onnelliseksi
1.6.2020,1500,3,Tunnen itseni onnelliseksi
1.6.2020,369369,3,Tunnen itseni onnelliseksi
2.6.2020,290520,3,Tunnen itseni onnelliseksi
2.6.2020,907,1,Tunnen itseni onnelliseksi
2.6.2020,34725,4,Tunnen itseni onnelliseksi
3.6.2020,7469,2,Tunnen itseni onnelliseksi
1.6.2020,123098,3,Nukuin riittavasti viime yona
1.6.2020,9253,5,Nukuin riittavasti viime yona
1.6.2020,222426,1,Nukuin riittavasti viime yona
1.6.2020,145789,4,Nukuin riittavasti viime yona
1.6.2020,21084,2,Nukuin riittavasti viime yona
1.6.2020,7968,4,Nukuin riittavasti viime yona
1.6.2020,2905,2,Nukuin riittavasti viime yona
1.6.2020,29,3,Nukuin riittavasti viime yona
1.6.2020,1500,2,Nukuin riittavasti viime yona
1.6.2020,369369,3,Nukuin riittavasti viime yona
2.6.2020,290520,4,Nukuin riittavasti viime yona
2.6.2020,907,1,Nukuin riittavasti viime yona
2.6.2020,34725,4,Nukuin riittavasti viime yona
3.6.2020,7469,2,Nukuin riittavasti viime yona
2.6.2020,123098,3,Koen usein rauhan tunnetta
2.6.2020,29,4,Koen usein rauhan tunnetta
2.6.2020,145789,3,Koen usein rauhan tunnetta
2.6.2020,21084,4,Koen usein rauhan tunnetta
2.6.2020,1500,3,Koen usein rauhan tunnetta
2.6.2020,222426,3,Koen usein rauhan tunnetta
2.6.2020,9253,4,Koen usein rauhan tunnetta
2.6.2020,907,1,Koen usein rauhan tunnetta
2.6.2020,369369,3,Koen usein rauhan tunnetta
2.6.2020,34725,3,Koen usein rauhan tunnetta
2.6.2020,7968,4,Koen usein rauhan tunnetta
2.6.2020,2905,4,Koen usein rauhan tunnetta
3.6.2020,290520,4,Koen usein rauhan tunnetta
2.6.2020,123098,4,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,29,3,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,145789,4,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,21084,5,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,1500,3,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,222426,3,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,9253,4,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,907,2,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,369369,3,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,34725,4,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,7968,4,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
2.6.2020,2905,5,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
3.6.2020,290520,4,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta
3.6.2020,123098,3,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,145789,5,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,369369,3,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,29,4,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,907,4,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,2905,4,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,1500,4,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,222426,5,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,7968,4,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,9253,5,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,34725,4,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
4.6.2020,21084,3,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni
3.6.2020,123098,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,145789,3,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,369369,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,29,3,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,907,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,2905,2,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,1500,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,222426,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,7968,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,9253,4,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
3.6.2020,34725,3,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
4.6.2020,21084,1,Minulle on tarkeaa viettaa kahvi ja lounastauko tyokavereiden seurassa
4.6.2020,123098,4,Tunnen hallitsevani omaa elamaani
4.6.2020,29,4,Tunnen hallitsevani omaa elamaani
4.6.2020,21084,3,Tunnen hallitsevani omaa elamaani
4.6.2020,145789,4,Tunnen hallitsevani omaa elamaani
4.6.2020,2905,3,Tunnen hallitsevani omaa elamaani
4.6.2020,222426,3,Tunnen hallitsevani omaa elamaani
4.6.2020,9253,3,Tunnen hallitsevani omaa elamaani
4.6.2020,907,1,Tunnen hallitsevani omaa elamaani
4.6.2020,7968,5,Tunnen hallitsevani omaa elamaani
4.6.2020,369369,3,Tunnen hallitsevani omaa elamaani
4.6.2020,1500,3,Tunnen hallitsevani omaa elamaani
6.6.2020,290520,4,Tunnen hallitsevani omaa elamaani
6.6.2020,704,3,Tunnen hallitsevani omaa elamaani
4.6.2020,123098,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,29,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,21084,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,145789,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,2905,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,222426,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,9253,3,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,907,3,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,7968,3,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,369369,4,Tiesin aamulla mita tulen tekemaan paivan aikana
4.6.2020,1500,3,Tiesin aamulla mita tulen tekemaan paivan aikana
6.6.2020,290520,2,Tiesin aamulla mita tulen tekemaan paivan aikana
6.6.2020,704,4,Tiesin aamulla mita tulen tekemaan paivan aikana
5.6.2020,123098,4,Tunnen etta voin hyvin
5.6.2020,7968,4,Tunnen etta voin hyvin
5.6.2020,145789,2,Tunnen etta voin hyvin
5.6.2020,2905,3,Tunnen etta voin hyvin
5.6.2020,29,4,Tunnen etta voin hyvin
5.6.2020,1500,3,Tunnen etta voin hyvin
5.6.2020,21084,4,Tunnen etta voin hyvin
5.6.2020,9253,3,Tunnen etta voin hyvin
5.6.2020,907,1,Tunnen etta voin hyvin
6.6.2020,369369,4,Tunnen etta voin hyvin
6.6.2020,222426,4,Tunnen etta voin hyvin
6.6.2020,290520,4,Tunnen etta voin hyvin
5.6.2020,123098,3,Soin eilen terveellista ruokaa
5.6.2020,7968,4,Soin eilen terveellista ruokaa
5.6.2020,145789,4,Soin eilen terveellista ruokaa
5.6.2020,2905,3,Soin eilen terveellista ruokaa
5.6.2020,29,2,Soin eilen terveellista ruokaa
5.6.2020,1500,3,Soin eilen terveellista ruokaa
5.6.2020,21084,2,Soin eilen terveellista ruokaa
5.6.2020,9253,3,Soin eilen terveellista ruokaa
5.6.2020,907,3,Soin eilen terveellista ruokaa
6.6.2020,369369,3,Soin eilen terveellista ruokaa
6.6.2020,222426,4,Soin eilen terveellista ruokaa
6.6.2020,290520,2,Soin eilen terveellista ruokaa
8.6.2020,123098,5,Pystyn nauttimaan elaman pienista asioista
8.6.2020,145789,4,Pystyn nauttimaan elaman pienista asioista
8.6.2020,21084,4,Pystyn nauttimaan elaman pienista asioista
8.6.2020,29,5,Pystyn nauttimaan elaman pienista asioista
8.6.2020,369369,3,Pystyn nauttimaan elaman pienista asioista
8.6.2020,9253,4,Pystyn nauttimaan elaman pienista asioista
8.6.2020,7968,5,Pystyn nauttimaan elaman pienista asioista
8.6.2020,1500,4,Pystyn nauttimaan elaman pienista asioista
8.6.2020,34725,4,Pystyn nauttimaan elaman pienista asioista
8.6.2020,290520,5,Pystyn nauttimaan elaman pienista asioista
10.6.2020,290520,4,Pystyn nauttimaan elaman pienista asioista
8.6.2020,123098,5,Nousin aamulla reippaasti sangysta ylos
8.6.2020,145789,4,Nousin aamulla reippaasti sangysta ylos
8.6.2020,21084,4,Nousin aamulla reippaasti sangysta ylos
8.6.2020,29,3,Nousin aamulla reippaasti sangysta ylos
8.6.2020,369369,3,Nousin aamulla reippaasti sangysta ylos
8.6.2020,9253,5,Nousin aamulla reippaasti sangysta ylos
8.6.2020,7968,3,Nousin aamulla reippaasti sangysta ylos
8.6.2020,1500,4,Nousin aamulla reippaasti sangysta ylos
8.6.2020,34725,4,Nousin aamulla reippaasti sangysta ylos
8.6.2020,290520,1,Nousin aamulla reippaasti sangysta ylos
10.6.2020,290520,1,Nousin aamulla reippaasti sangysta ylos
17.6.2020,123098,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,29,4,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,1500,3,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,145789,4,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,7968,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,21084,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,907,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,9253,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,369369,4,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,222426,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
18.6.2020,2905,5,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
18.6.2020,34725,4,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta
17.6.2020,123098,5,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,29,3,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,1500,3,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,145789,2,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,7968,4,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,21084,4,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,907,5,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,9253,2,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,369369,3,Tulen hyvin toimeen lahimman esimieheni kanssa
17.6.2020,222426,2,Tulen hyvin toimeen lahimman esimieheni kanssa
18.6.2020,2905,4,Tulen hyvin toimeen lahimman esimieheni kanssa
18.6.2020,34725,5,Tulen hyvin toimeen lahimman esimieheni kanssa
18.6.2020,123098,5,Tunnen itseni kiireiseksi
18.6.2020,145789,4,Tunnen itseni kiireiseksi
18.6.2020,222426,4,Tunnen itseni kiireiseksi
18.6.2020,1500,3,Tunnen itseni kiireiseksi
18.6.2020,2905,4,Tunnen itseni kiireiseksi
18.6.2020,9253,3,Tunnen itseni kiireiseksi
18.6.2020,29,2,Tunnen itseni kiireiseksi
18.6.2020,369369,4,Tunnen itseni kiireiseksi
18.6.2020,907,5,Tunnen itseni kiireiseksi
18.6.2020,7968,2,Tunnen itseni kiireiseksi
25.6.2020,34725,4,Tunnen itseni kiireiseksi
18.6.2020,123098,3,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,145789,5,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,222426,5,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,1500,3,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,2905,2,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,9253,4,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,29,5,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,369369,1,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,907,3,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
18.6.2020,7968,5,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
25.6.2020,34725,2,Aikani tulee riittamaan paivan aikana hyvin kaikkeen
24.6.2020,123098,3,Minulla ei ole fyysisia kipuja
24.6.2020,145789,2,Minulla ei ole fyysisia kipuja
24.6.2020,29,5,Minulla ei ole fyysisia kipuja
24.6.2020,21084,4,Minulla ei ole fyysisia kipuja
24.6.2020,369369,4,Minulla ei ole fyysisia kipuja
24.6.2020,7968,4,Minulla ei ole fyysisia kipuja
24.6.2020,222426,5,Minulla ei ole fyysisia kipuja
24.6.2020,9253,4,Minulla ei ole fyysisia kipuja
24.6.2020,907,5,Minulla ei ole fyysisia kipuja
25.6.2020,34725,3,Minulla ei ole fyysisia kipuja
26.6.2020,290520,2,Minulla ei ole fyysisia kipuja
29.6.2020,1500,4,Minulla ei ole fyysisia kipuja
24.6.2020,123098,4,Olin eilen fyysisesti aktiivinen
24.6.2020,145789,5,Olin eilen fyysisesti aktiivinen
24.6.2020,29,2,Olin eilen fyysisesti aktiivinen
24.6.2020,21084,4,Olin eilen fyysisesti aktiivinen
24.6.2020,369369,2,Olin eilen fyysisesti aktiivinen
24.6.2020,7968,5,Olin eilen fyysisesti aktiivinen
24.6.2020,222426,5,Olin eilen fyysisesti aktiivinen
24.6.2020,9253,5,Olin eilen fyysisesti aktiivinen
24.6.2020,907,2,Olin eilen fyysisesti aktiivinen
25.6.2020,34725,2,Olin eilen fyysisesti aktiivinen
26.6.2020,290520,4,Olin eilen fyysisesti aktiivinen
29.6.2020,1500,1,Olin eilen fyysisesti aktiivinen
30.6.2020,123098,5,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,29,4,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,7968,5,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,907,5,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,9253,4,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,1500,3,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,2905,4,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,145789,4,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,21084,4,Arjen elamani tuo turvallisuuden tunnetta
30.6.2020,222426,1,Arjen elamani tuo turvallisuuden tunnetta
