Aika,sadanta,Juoksutus,Elohopea,pH,Johtokyky,Orgaaninen,Kiintoaine,Fosfori,Natrium,Kalium,Kalsium,Magnesium,Kovuus,Typpi,Rauta,Kadmium,Kromi,Kupari,Lyijy,Nikkeli,Sinkki,Arseeni,Koboltti,Sulfaatti,pH_indeksi,Johtokyky_indeksi,Sulfaatti_indeksi,Sadanta_indeksi
tammi.15,26.9,103934,0.005,8.4,150,0.71,2,0.005,45,8.4,75,160,7.9,0.64,0.21,0.000017,0.00021,0.00047,0.00005,0.57,0.023,0.083,0.015,760,2,1,1,1
helmi.15,47.3,98253,0.005,8.6,140,2.4,1.6,0.005,39,7.2,69,140,7.5,0.63,0.17,0.000014,0.00043,0.0011,0.000068,0.53,0.031,0.087,0.016,700,2,1,1,1
maalis.15,62.3,190309,0.005,8.6,130,1.8,2.6,0.009,31,6.5,66,130,6.9,0.87,0.21,0.000023,0.00052,0.0014,0.00005,0.55,0.026,0.08,0.015,620,2,1,1,2
huhti.15,36.8,216590,0.005,8.2,120,1.6,4,0.005,28,5.7,59,110,5.9,0.82,0.53,0.000063,0.00029,0.002,0.000078,0.5,0.091,0.03,0.026,540,1,1,1,1
touko.15,78.7,172414,0.005,8.6,120,1.4,4.6,0.007,28,5.6,65,120,6.3,0.71,0.48,0.000032,0.00047,0.0011,0.00005,0.55,0.051,0.0097,0.033,600,2,1,1,2
kesä.15,64.7,58425,0.005,8.8,130,1.6,3,0.005,35,6.5,69,130,7,0.7,0.54,0.000014,0.00025,0.00069,0.00005,0.41,0.0095,0.023,0.015,690,2,1,1,2
heinä.15,62.3,15416,0.005,8.4,120,1.2,4,0.007,32,5.3,67,100,6,0.52,0.53,0.000013,0.00027,0.0018,0.00005,0.21,0.016,0.089,0.0098,600,2,1,1,2
elo.15,34.4,77571,0.005,8.7,140,1.9,5.7,0.006,45,7,68,130,7.3,0.4,0.62,0.000012,0.00033,0.0022,0.000052,0.23,0.015,0.24,0.0085,700,2,1,1,1
syys.15,35.7,133555,0.005,8.5,130,2.2,4.4,0.007,46,7.1,66,130,6.9,0.4,0.68,0.000016,0.00036,0.0022,0.00005,0.22,0.018,0.22,0.009,640,2,1,1,1
loka.15,56,56020,0.005,8.2,140,2.3,5.4,0.011,44,7.1,66,130,7.1,0.58,0.83,0.000024,0.00037,0.0023,0.000062,0.32,0.025,0.15,0.013,680,2,1,1,2
marras.15,75.3,142718,0.005,8.3,140,2,4.2,0.006,44,7.2,69,140,7.2,0.67,1.1,0.00001,0.00034,0.0013,0.00005,0.36,0.039,0.064,0.015,680,2,1,1,2
joulu.15,51.7,82448,0.005,9,130,1.5,7.2,0.005,48,6.4,96,110,6.8,0.75,0.21,0.000032,0.00018,0.00086,0.000086,1.2,0.013,0.011,0.031,690,2,1,1,2
tammi.16,89.5,149762,0.005,8.9,160,2,12,0.003,62,7.1,140,110,7.8,0.87,0.2,0.000018,0.00022,0.0004,0.00005,0.6,0.0048,0.015,0.0052,820,2,1,1,2
helmi.16,30.3,167009,0.005,8.9,170,1.8,4,0.003,70,7,190,99,8.5,1,0.38,0.00001,0.0002,0.00038,0.00005,0.52,0.005,0.021,0.0035,940,2,2,1,1
maalis.16,28.9,199211,0.005,8.7,180,1.2,2.1,0.007,75,6.5,240,91,9.4,1.6,0.55,0.00001,0.00025,0.00053,0.00008,0.65,0.0066,0.021,0.0058,990,2,2,1,1
huhti.16,24.7,246278,0.005,7.3,98,1.4,4.8,0.003,32,4.9,120,39,4.5,0.87,1.6,0.000085,0.000084,0.0014,0.00005,0.28,0.092,0.004,0.02,460,1,1,1,1
touko.16,75,202672,0.005,7.7,160,1.4,1.3,0.003,56,4.6,220,71,8.1,1.1,0.41,0.000027,0.00019,0.00093,0.00005,0.38,0.023,0.013,0.016,860,1,1,1,2
kesä.16,84.9,68512,0.005,8,200,1.3,3.2,0.004,66,6.5,260,99,10,1.1,0.51,0.000022,0.00021,0.00089,0.00011,0.37,0.022,0.025,0.018,1100,1,2,2,2
heinä.16,106.3,25315,0.005,8.1,210,1.8,2.3,0.007,73,7.2,280,100,11,1.2,0.61,0.00001,0.00017,0.0032,0.0001,0.32,0.021,0.043,0.013,1300,2,2,2,2
elo.16,42.3,21548,0.005,7.9,230,1.6,3.8,0.006,79,7.6,300,110,12,1.7,0.83,0.000051,0.00028,0.0015,0.000075,0.45,0.028,0.033,0.013,1300,1,2,2,1
syys.16,41,111110,0.005,7.7,230,1.6,3,0.004,83,8.5,310,120,12,1.5,0.76,0.000024,0.00027,0.0047,0.00013,0.64,0.032,0.021,0.016,1300,1,2,2,1
loka.16,86.3,133773,0.005,7.7,225.6,1.5,4.5,0.009,81,7.4,340,100,13,1.4,0.8,0.000032,0.00065,0.0055,0.00005,0.51,0.029,0.018,0.015,1331,1,2,2,2
marras.16,50.9,128765,0.005,8.9,210,2,20,0.004,71,7.4,370,63,12,1.3,0.58,0.00005,0.00028,0.0052,0.000092,0.19,0.042,0.0097,0.007,1245,2,2,2,2
joulu.16,20.8,82406,0.005,9.5,180,3.4,8.8,0.004,51,7.3,330,55,10,1.6,0.19,0.000012,0.00018,0.00056,0.000069,0.067,0.0086,0.016,0.00096,1070,2,2,2,1
tammi.17,35,56962,0.005,9.2,170,2.8,7.9,0.003,37,6.1,310,44,9.9,1.4,0.13,0.00001,0.00022,0.00045,0.00005,0.053,0.0054,0.017,0.00049,1058,2,2,2,1
helmi.17,39.2,215505,0.005,9,180,4.6,7.4,0.003,48,7.2,290,57,10,1.8,0.097,0.000012,0.0002,0.00042,0.00005,0.039,0.0049,0.021,0.00097,1080,2,2,2,1
maalis.17,67.6,133919,0.005,9.1,170,4.1,6.3,0.004,41,6.9,270,64,9.3,1.9,0.16,0.00001,0.00025,0.00038,0.00005,0.059,0.0065,0.021,0.0016,988,2,2,1,2
huhti.17,24,145475,0.005,8.2,130,2.9,2.4,0.003,23,5.5,170,57,7,1.5,0.51,0.00007,0.00027,0.0018,0.00005,0.15,0.044,0.011,0.007,775,2,1,1,1
touko.17,40.7,170376,0.005,7.4,94,1.4,3,0.003,14,3.9,110,48,4.7,0.94,0.48,0.00029,0.0003,0.0016,0.00005,0.18,0.15,0.0056,0.027,490,1,1,1,1
kesä.17,83.6,27163,0.005,7.5,160,0.94,2.1,0.003,24,7.6,200,100,8.7,0.98,0.67,0.00005,0.00035,0.001,0.00005,0.31,0.049,0.013,0.031,963,1,1,1,2
heinä.17,94.3,23650,0.005,8.1,170,1.9,1.9,0.003,22,8,270,85,10,0.82,0.61,0.000017,0.00045,0.0022,0.0002,0.16,0.019,0.018,0.011,1001,2,2,2,2
elo.17,74.3,59258,0.005,8.1,180,1.4,3,0.009,25,8.8,270,91,10,0.65,0.62,0.00003,0.00032,0.0018,0.00005,0.19,0.019,0.017,0.0079,1040,2,2,2,2
syys.17,71.8,140700,0.005,7.6,170,1.5,1.7,0.004,26,9.4,260,94,11,0.7,0.38,0.000033,0.000076,0.0039,0.00013,0.23,0.03,0.0098,0.0091,1041,1,2,2,2
loka.17,73.1,140409,0.005,7.6,170,1.4,4.8,0.012,26,8.8,250,84,9.9,1,1,0.000096,0.0026,0.0032,0.000094,0.26,0.056,0.018,0.015,1010,1,2,2,2
marras.17,111.1,100781,0.005,7.9,160,1.3,3.3,0.004,37,8.6,200,93,8.9,0.98,0.66,0.000046,0.00075,0.0052,0.000058,0.43,0.065,0.013,0.021,957,1,1,1,2
joulu.17,51.4,201224,0.005,8.8,170,1.8,5.7,0.005,54,9.5,200,99,9.1,1.5,0.2,0.000017,0.00022,0.0015,0.000085,0.38,0.023,0.027,0.0083,983,2,1,1,2
tammi.18,12.9,110999,0.005,9.1,170,3.2,2.5,0.005,58,8.5,190,95,8.2,1.9,0.32,0.00001,0.00023,0.00076,0.000077,0.4,0.021,0.042,0.0072,916,2,1,1,1
helmi.18,42.7,42192,0.005,8.9,170,3.7,4.8,0.01,59,7.5,190,100,8.7,2,0.21,0.00001,0.00019,0.00058,0.00005,0.52,0.013,0.026,0.0067,958,2,1,1,1
maalis.18,43.6,24452,0.005,8.9,180,3.7,8.7,0.011,71,11,210,100,9.3,2.5,0.27,0.00001,0.00039,0.0014,0.000074,0.22,0.014,0.025,0.0036,1005,2,2,2,1
huhti.18,37.2,170768,0.005,8.6,130,2.9,4,0.005,44,6.3,150,70,6.7,2.1,0.46,0.000065,0.00053,0.0072,0.000067,0.15,0.048,0.018,0.0081,710,2,1,1,1
touko.18,57.7,101024,0.005,7.2,110,1.3,2.9,0.005,25,5.2,120,59,5.4,1.3,0.48,0.000094,0.00033,0.0037,0.00013,0.22,0.067,0.011,0.019,568,1,1,1,2
kesä.18,51.2,4739,0.005,7.3,180,2.1,6.2,0.005,34,9.1,210,120,10,1.3,1.3,0.000028,0.00015,0.0013,0.00005,0.58,0.071,0.022,0.041,1075,1,2,2,2
heinä.18,85.5,50639,0.005,8.4,170,2,5.4,0.01,36,8.8,220,110,10,0.98,0.53,0.000022,0.00023,0.0015,0.00005,0.31,0.027,0.024,0.014,1026,2,1,2,2
elo.18,80,11119,0.005,7.8,180,1.9,3.8,0.021,44,10,260,110,11,0.64,0.64,0.000032,0.00043,0.0013,0.00006,0.18,0.018,0.041,0.0067,1102,2,2,2,2
syys.18,38.5,64998,0.005,7.6,180,2.2,4.8,0.006,40,11,240,90,10,0.53,0.84,0.000035,0.0003,0.0016,0.00023,0.18,0.049,0.025,0.0061,1000,1,2,2,1
loka.18,16.5,131546,0.005,7.7,180,0.5,4.2,0.006,38,9.7,250,91,9.9,0.64,1.1,0.000044,0.00029,0.0016,0.00013,0.2,0.066,0.02,0.01,1000,1,2,2,1
marras.18,46.3,65575,0.005,7.5,180,1.5,6,0.006,41,12,240,95,10,0.76,1.2,0.000047,0.0014,0.0056,0.00014,0.26,0.088,0.019,0.019,830,1,2,1,1
joulu.18,49.2,13395,0.005,8.3,190,1.9,3.9,0.004,39,11,240,110,11,1.2,0.33,0.000056,0.00019,0.0013,0.00011,0.18,0.037,0.018,0.0056,1100,1,2,2,2
tammi.19,46.7,41590,0.005,9.1,180,3.1,4.6,0.007,42,11,210,110,9.7,1.7,0.24,0.000022,0.00072,0.00088,0.000057,0.097,0.017,0.025,0.0014,1000,2,2,2,1
helmi.19,55.1,80376,0.005,8.9,170,2.7,3,0.007,P,P,P,P,9.1,2.1,0.24,0.00001,0.0004,0.00091,0.000066,0.12,0.014,0.027,0.0011,950,2,2,2,2
