AIKA,KATTILA_PAINE,KATTILA_SYOTTOVESI,ALIPAINE,SAVUKAASU_TILAVUUSVIRTA,LIERIO_PAINE,TUOREHOYRY_PAINE,CO_PITOISUUS,O2_PITOISUUS,SAVUKAASU_INDEKSI,SYOTTOVESI_LAMPOTILA,SAVUKAASU_LAMPOTILA,TUOREHOYRY_LAMPOTILA,HYOTYSUHDE,MWh_INDEKSI
1.3.2014 0:00,5.816595,15.19714,0.3593793,260.7792,83.48424,81.98222,19.48454,10.98951,12.07318,138.2302,168.5558,509.9592,0.84229099,1
1.3.2014 1:00,5.843216,15.08388,0.3575734,260.2398,83.46558,81.97371,17.90647,11.02937,12.04873,138.3786,168.5679,510.0145,0.84223673,1
1.3.2014 2:00,5.897058,15.13334,0.3568052,255.7663,83.44157,81.96159,19.04143,11.14527,11.84078,138.2978,167.9696,509.2137,0.8428764,1
1.3.2014 3:00,5.774259,15.16323,0.3565022,257.0057,83.45082,81.95793,20.24811,11.06852,11.89837,138.2919,167.0025,510.265,0.84513671,1
1.3.2014 4:00,5.800484,15.20704,0.3559856,256.3517,83.42249,81.92623,20.27748,11.09284,11.86799,138.2828,166.6758,510.0458,0.84570969,1
1.3.2014 5:00,5.736302,14.80878,0.3540604,252.8466,83.51912,82.08383,21.55426,11.19442,11.70558,138.5332,166.6084,509.7274,0.84544496,1
1.3.2014 6:00,6.114523,15.57872,0.3545675,260.0631,83.50072,81.93582,19.29152,9.542239,12.0405,137.6195,166.5259,510.1564,0.853156125,1
1.3.2014 7:00,5.943904,15.58312,0.3558889,258.9547,83.65153,82.09677,20.38697,11.0217,11.98921,137.1793,167.4749,509.6507,0.84340399,1
1.3.2014 8:00,6.101533,15.50432,0.3558609,255.391,83.39006,81.8563,19.26361,11.03995,11.82382,138.0695,167.0453,510.0968,0.84503515,1
1.3.2014 9:00,6.148595,15.30202,0.3547794,258.5272,83.48595,81.96523,17.91986,11.0118,11.9684,138.2839,167.5102,510.0227,0.84416073,1
1.3.2014 10:00,6.093751,15.28083,0.3561645,254.8323,83.54934,82.05088,18.82586,11.09736,11.79789,138.4376,167.4537,509.4973,0.84367695,1
1.3.2014 11:00,5.836907,15.16999,0.3575328,250.6449,83.59608,82.12184,20.07374,11.15431,11.6044,138.6801,166.5491,509.5107,0.84517202,1
1.3.2014 12:00,5.909814,15.10452,0.3577283,248.2712,83.34979,81.89347,20.41919,11.16583,11.49426,138.8274,165.3412,509.8907,0.84833456,1
1.3.2014 13:00,5.700677,14.88706,0.3577365,253.1199,83.5471,82.11631,19.20245,11.06522,11.71852,138.5113,165.5791,511.297,0.84798734,1
1.3.2014 14:00,5.665647,14.78198,0.3576884,253.9329,83.49892,82.07542,18.02476,11.10025,11.7567,138.3043,166.6474,509.2966,0.84592521,1
1.3.2014 15:00,5.763481,14.92679,0.3582337,254.5188,83.3196,81.86835,18.06273,11.11742,11.78325,138.0631,166.5148,510.3502,0.84649771,1
1.3.2014 16:00,5.886658,15.01684,0.3584797,255.1723,83.49476,82.02469,20.94071,11.06339,11.81345,138.023,166.4919,510.1508,0.84619813,1
